id,title,description,image,method_of_making,animation,perceptual_realism,tags,link
ex-051,Make sense of it all: Mapping Movement,,media/ex-051.png,,,,,https://www.behance.net/gallery/162831571/Make-sense-of-it-all-Mapping-Movement
ex-052,Where is My Bus Filling,,media/ex-052.png,,,,,https://www.behance.net/gallery/184974961/TransitVizThursday-Innovative-Transit-DataViz
ex-053,Forestry Management Corruption,,media/ex-053.png,,,,,https://www.behance.net/gallery/17843207/Forestry-3D-infographics?tracking_source=search_projects|3d+infographic&l=152
ex-054,Commuter Flowers,,media/ex-054.png,,,,,https://www.behance.net/gallery/136828809/Commuter-Flowers
ex-055,World Wealth Distribution,,media/ex-055.png,,,,,https://www.youtube.com/shorts/itRcmiAQRho
ex-056,Fibers,,media/ex-056.png,,,,,https://variable.io/fibers/
ex-057,Cost of Living in LA,,media/ex-057.png,,,,,https://www.behance.net/gallery/134157179/Data-Doodles-2021#
ex-058,The Gradient of Naturality,,media/ex-058.png,,,,,https://www.behance.net/lavergneflor?tracking_source=for_you_logged_in_feed_recommended
ex-059,The Growing Problem of Mining Tailings,,media/ex-059.png,,,,,https://www.voronoiapp.com/natural-resources/The-Growing-Problem-of-Mining-Tailings-Visualized-7024
ex-060,How much water do we consume in 70 years,,media/ex-060.png,,,,,https://www.youtube.com/shorts/J8UtBisJsq0
ex-061,Transforming Literature to Architecture,,media/ex-061.png,,,,,https://www.behance.net/gallery/27695559/EKPHRASIS-Transforming-Literature-to-Architecture
ex-062,Shenzhen Augmented Data Sculpture,,media/ex-062.png,,,,,https://www.behance.net/gallery/140061345/Shenzhen-Augmented-Data-Sculpture?tracking_source=search_projects|procedural+data&l=10
ex-063,Memopod,,media/ex-063.png,,,,,https://www.behance.net/gallery/111287371/Memopod?tracking_source=search_projects|procedural+data&l=2
ex-064,OG:CRYSTALS,,media/ex-064.png,,,,,https://ogcrystals.com/
ex-065,Escape Velocity - Climate Series for Vox,,media/ex-065.png,,,,,https://www.behance.net/gallery/224105907/Escape-Velocity-Climate-Series-for-Vox?tracking_source=search_projects|procedural+data&l=97
ex-066,Representation of the World Population,,media/ex-066.png,,,,,https://www.youtube.com/shorts/uJjQDEVmr5Y
ex-067,Growth Speed Comparison of Common Plants,,media/ex-067.png,,,,,https://www.instagram.com/p/DRctzDGCI4-/
ex-068,Star's Color and Temperature,,media/ex-068.png,,,,,https://www.instagram.com/p/DR4assPCKUG/
ex-069,Fossil fuels - The rate we Use Them,,media/ex-069.png,,,,,https://www.youtube.com/watch?v=CmR8zSE8k1I
ex-070,Rockslide Festival Activity,,media/ex-070.png,,,,,https://variable.io/festival-activity/
